coc_code,coc_name,perc_change_2014_2018,rank_perc_change_2014_2018,overall_homeless_2014,overall_homeless_2018
pa-508,scranton/lackawanna county coc,-0.445993031358885,347,287,159
va-503,virginia beach coc,-0.44772727272727275,348,440,243
ok-507,southeastern oklahoma regional coc,-0.4479638009049774,349,442,244
ne-502,lincoln coc,-0.4605263157894737,350,836,451
ny-520,"franklin, essex counties coc",-0.46153846153846156,351,78,42
ms-500,"jackson/rankin, madison counties coc",-0.4728132387706856,352,846,446
nc-516,northwest north carolina coc,-0.47423887587822017,353,854,449
oh-508,"canton, massillon, alliance/stark county coc",-0.4764595103578154,354,531,278
mi-509,washtenaw county coc,-0.48256880733944957,355,545,282
va-508,lynchburg coc,-0.4909090909090909,356,220,112
pa-600,"pittsburgh, mckeesport, penn hills/allegheny county coc",-0.5022250476795931,357,1573,783
fl-513,"palm bay, melbourne/brevard county coc",-0.5030467163168585,358,1477,734
ga-501,georgia balance of state coc,-0.5077207337996569,359,7577,3730
ma-510,"gloucester, haverhill, salem/essex county coc",-0.50773369199731,360,1487,732
ca-523,"colusa, glenn, trinity counties coc",-0.527336860670194,361,567,268
wv-508,west virginia balance of state coc,-0.5306427503736921,362,1338,628
ca-614,san luis obispo county coc,-0.5371935756551142,363,2366,1095
mi-502,"dearborn, dearborn heights, westland/wayne county coc",-0.5372807017543859,364,456,211
il-519,west central illinois coc,-0.5379310344827586,365,145,67
fl-518,"columbia, hamilton, lafayette, suwannee counties coc",-0.5392523364485982,366,1070,493
ny-501,"elmira/steuben, allegany, livingston, chemung, schuyler counties coc",-0.544921875,367,512,233
il-514,dupage county coc,-0.5489296636085627,368,654,295
mn-504,northeast minnesota coc,-0.55,369,200,90
ky-502,lexington-fayette county coc,-0.5563471502590673,370,1544,685
md-508,"charles, calvert, st.mary's counties coc",-0.5687992988606485,371,1141,492
nd-500,north dakota statewide coc,-0.5691573926868044,372,1258,542
fl-504,"daytona beach, daytona/volusia, flagler counties coc",-0.5817513778322106,373,1633,683
nc-502,durham city & county coc,-0.5832305795314426,374,811,338
mn-511,southwest minnesota coc,-0.6388888888888888,375,180,65
mi-517,jackson city & county coc,-0.6625,376,240,81
fl-517,"hendry, hardee, highlands counties coc",-0.663447251114413,377,1346,453
fl-602,punta gorda/charlotte county coc,-0.6790606653620352,378,511,164
fl-505,"fort walton beach/okaloosa, walton counties coc",-0.6861128725428028,379,1577,495
nj-515,elizabeth/union county coc,-0.7153067301965456,380,1679,478
mi-516,"norton shores, muskegon city & county coc",-0.7277397260273972,381,584,159
fl-512,st. johns county coc,-0.7558886509635975,382,1401,342
al-506,tuscaloosa city & county coc,-0.7673469387755102,383,245,57
