state,city,coc_code,sleeping_public_citywide,sleeping_public_particular,camping_public_citywide,camping_public_particular,sitting_lying_particular,vehicle_as_home,loitering_vagrancy_citywide,loitering_vagrancy_particular,begging_citywide,begging_particular,food_sharing_bans,totals,score,cluster_number_zillow_2017
tx,houston,tx-700,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.36,2
tx,san antonio,tx-500,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,6,0.55,2
ut,salt lake city,ut-500,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0.55,2
va,norfolk,va-501,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,0.45,1
va,richmond,va-500,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,5,0.45,1
va,roanoke,va-502,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.09,2
va,suffolk,va-501,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0.18,1
va,virginia beach,va-503,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,0.55,1
vt,burlington,vt-501,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,0.36,2
vt,montpelier,vt-500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0.18,2
wa,olympia,wa-501,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,0.36,2
wa,seattle,wa-500,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0.27,3
wa,spokane,wa-502,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,0.45,2
wa,woodinville,wa-500,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,0.27,3
wi,eau claire,wi-500,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4,0.36,1
wi,madison,wi-503,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,0.36,2
wi,milwaukee,wi-501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0.18,2
wv,charleston,wv-503,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,0.27,2
wy,cheyenne,wy-500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,0.18,2
